epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,13120.4,0.31035,0.6554,0.25403,0.87009,0.95423,0.91848,0.93833,0.87487,0.94997,0.91427,0.92807,0.82767,0.39941,1.23331,0.26998,0.89595,0.0084556,0.0084556,0.0084556
80,13284.2,0.30944,0.70222,0.24808,0.8674,0.95031,0.92053,0.93987,0.87474,0.95786,0.90697,0.92861,0.82795,0.39823,1.24377,0.26602,0.89535,0.0084358,0.0084358,0.0084358
81,13448.2,0.30903,0.67898,0.24786,0.87039,0.9535,0.92441,0.94231,0.87673,0.94638,0.91744,0.93014,0.83429,0.39008,1.25538,0.26438,0.89035,0.008416,0.008416,0.008416
82,13611.9,0.3095,0.68165,0.24551,0.86875,0.95341,0.92267,0.94225,0.87797,0.94788,0.91807,0.93125,0.83436,0.39355,1.23588,0.26657,0.89399,0.0083962,0.0083962,0.0083962
83,13774.4,0.30583,0.67323,0.24764,0.86769,0.95865,0.92433,0.94276,0.87827,0.95321,0.91722,0.93181,0.83367,0.39593,1.2413,0.26127,0.89991,0.0083764,0.0083764,0.0083764
84,13937.8,0.30623,0.66915,0.24536,0.86656,0.9593,0.92225,0.94352,0.87818,0.95427,0.91785,0.93361,0.83529,0.39587,1.24476,0.25985,0.89805,0.0083566,0.0083566,0.0083566
85,14101.5,0.30573,0.66206,0.24814,0.86616,0.96143,0.92387,0.94377,0.87564,0.95485,0.91828,0.93169,0.83449,0.3958,1.21574,0.25816,0.89793,0.0083368,0.0083368,0.0083368
86,14268.7,0.30511,0.66193,0.24685,0.86903,0.95655,0.92748,0.94377,0.87896,0.95074,0.92176,0.93034,0.83338,0.39106,1.24502,0.25753,0.89514,0.008317,0.008317,0.008317
87,14434.9,0.30501,0.68257,0.24658,0.8682,0.9588,0.92343,0.94251,0.87654,0.95263,0.91798,0.93068,0.83134,0.38983,1.24249,0.25884,0.8958,0.0082972,0.0082972,0.0082972
88,14603.3,0.30419,0.66907,0.24279,0.86905,0.96287,0.92344,0.94436,0.87725,0.95695,0.91795,0.93178,0.83212,0.38777,1.24118,0.25456,0.89303,0.0082774,0.0082774,0.0082774
89,14770.8,0.30139,0.66306,0.2422,0.8666,0.96228,0.92297,0.94262,0.87721,0.95821,0.91842,0.93125,0.83146,0.38976,1.2353,0.25479,0.89387,0.0082576,0.0082576,0.0082576
90,14937.5,0.30637,0.68179,0.24518,0.86648,0.96053,0.92199,0.94266,0.87696,0.95614,0.91763,0.93258,0.83501,0.39027,1.23457,0.25641,0.89194,0.0082378,0.0082378,0.0082378
91,15105,0.29713,0.65365,0.24143,0.86623,0.96733,0.91875,0.94207,0.87695,0.96317,0.91299,0.93212,0.83344,0.39108,1.20627,0.2528,0.89479,0.008218,0.008218,0.008218
92,15272.2,0.29859,0.65481,0.24024,0.86401,0.96731,0.91781,0.94333,0.8788,0.96288,0.91494,0.93315,0.83457,0.39183,1.20943,0.25031,0.89481,0.0081982,0.0081982,0.0081982
93,15436.5,0.2985,0.6562,0.23849,0.86561,0.96531,0.91898,0.94286,0.87795,0.96102,0.91528,0.93195,0.83479,0.39072,1.20418,0.24883,0.8947,0.0081784,0.0081784,0.0081784
94,15602.6,0.29936,0.67662,0.24135,0.86654,0.95885,0.92422,0.9433,0.87677,0.95392,0.91821,0.93183,0.83488,0.38969,1.19719,0.24804,0.89462,0.0081586,0.0081586,0.0081586
95,15771.5,0.29818,0.63879,0.24071,0.86669,0.96206,0.92134,0.94337,0.87687,0.95707,0.91606,0.932,0.8341,0.38826,1.19712,0.24728,0.89241,0.0081388,0.0081388,0.0081388
